char	index	unicode	strokes	sequence
毕	0409	U+6BD5	6	1;5;3;5;1;2
至	0410	U+81F3	6	1;5;4;1;2;1
此	0411	U+6B64	6	2;1;2;1;3;5
乩	3590	U+4E69	6	2;1;2;5;1;5
贞	0412	U+8D1E	6	2;1;2;5;3;4
师	0413	U+5E08	6	2;3;1;2;5;2
尘	0414	U+5C18	6	2;3;4;1;2;1
尖	0415	U+5C16	6	2;3;4;1;3;4
劣	0416	U+52A3	6	2;3;4;3;5;3
光	0417	U+5149	6	2;4;3;1;3;5
当	0418	U+5F53	6	2;4;3;5;1;1
早	0419	U+65E9	6	2;5;1;1;1;2
吁	0420	U+5401	6	2;5;1;1;1;2
吐	0421	U+5410	6	2;5;1;1;2;1
吓	0422	U+5413	6	2;5;1;1;2;4
旯	3591	U+65EF	6	2;5;1;1;3;5
曳	3592	U+66F3	6	2;5;1;1;5;3
虫	0423	U+866B	6	2;5;1;2;1;4
曲	0424	U+66F2	6	2;5;1;2;2;1
团	0425	U+56E2	6	2;5;1;2;3;1
吕	0426	U+5415	6	2;5;1;2;5;1
同	0427	U+540C	6	2;5;1;2;5;1
吊	0428	U+540A	6	2;5;1;2;5;2
吒	6531	U+5412	6	2;5;1;3;1;5
吃	0429	U+5403	6	2;5;1;3;1;5
因	0430	U+56E0	6	2;5;1;3;4;1
吸	0431	U+5438	6	2;5;1;3;5;4
吖	6532	U+5416	6	2;5;1;4;3;2
吗	0432	U+5417	6	2;5;1;5;5;1
吆	0433	U+5406	6	2;5;1;5;5;4
屼	6533	U+5C7C	6	2;5;2;1;3;5
屿	0434	U+5C7F	6	2;5;2;1;5;1
屾	6534	U+5C7E	6	2;5;2;2;5;2
屹	0435	U+5C79	6	2;5;2;3;1;5
岁	0436	U+5C81	6	2;5;2;3;5;4
岌	3593	U+5C8C	6	2;5;2;3;5;4
帆	0437	U+5E06	6	2;5;2;3;5;4
辿	6535	U+8FBF	6	2;5;2;4;5;4
回	0438	U+56DE	6	2;5;2;5;1;1
屺	3594	U+5C7A	6	2;5;2;5;1;5
岂	0439	U+5C82	6	2;5;2;5;1;5
则	0440	U+5219	6	2;5;3;4;2;2
刚	0441	U+521A	6	2;5;3;4;2;2
网	0442	U+7F51	6	2;5;3;4;3;4
肉	0443	U+8089	6	2;5;3;4;3;4
凼	3595	U+51FC	6	2;5;3;4;5;2
囡	3596	U+56E1	6	2;5;5;3;1;1
钆	6536	U+9486	6	3;1;1;1;5;5
钇	3597	U+9487	6	3;1;1;1;5;5
年	0444	U+5E74	6	3;1;1;2;1;2
朱	0445	U+6731	6	3;1;1;2;3;4
缶	3598	U+7F36	6	3;1;1;2;5;2
氘	3599	U+6C18	6	3;1;1;5;3;2
氖	3600	U+6C16	6	3;1;1;5;5;3
先	0446	U+5148	6	3;1;2;1;3;5
牝	3601	U+725D	6	3;1;2;1;3;5
丢	0447	U+4E22	6	3;1;2;1;5;4
廷	0448	U+5EF7	6	3;1;2;1;5;4
舌	0449	U+820C	6	3;1;2;2;5;1
竹	0450	U+7AF9	6	3;1;2;3;1;2
迁	0451	U+8FC1	6	3;1;2;4;5;4
乔	0452	U+4E54	6	3;1;3;4;3;2
迄	0453	U+8FC4	6	3;1;5;4;5;4
